tab	samples												
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
CB3-2	CB3	0	Extrusive:Igneous	Lava Flow	Basalt		-62	0	19.7	381.7	-72	This study	SO-CMD-NORTH
CB3-3	CB3	0	Extrusive:Igneous	Lava Flow	Basalt		177	0	19.7	381.7	-16	This study	SO-CMD-NORTH
CB3-4	CB3	0	Extrusive:Igneous	Lava Flow	Basalt		-30	0	19.7	381.7	-55	This study	SO-CMD-NORTH
CB3-6	CB3	0	Extrusive:Igneous	Lava Flow	Basalt		-21	0	19.7	381.7	-77	This study	SO-CMD-NORTH
CB3-7	CB3	0	Extrusive:Igneous	Lava Flow	Basalt		-82	0	19.7	381.7	-48	This study	SO-CMD-NORTH
CB3-8	CB3	0	Extrusive:Igneous	Lava Flow	Basalt		196	0	19.7	381.7	-25	This study	SO-CMD-NORTH
CB4-2	CB4	0	Extrusive:Igneous	Lava Flow	Basalt		128	0	19.7	381.7	-52	This study	SO-CMD-NORTH
CB4-3	CB4	0	Extrusive:Igneous	Lava Flow	Basalt		231	0	19.7	381.7	-44	This study	SO-CMD-NORTH
CB4-4	CB4	0	Extrusive:Igneous	Lava Flow	Basalt		248	0	19.7	381.7	-89	This study	SO-CMD-NORTH
CB4-5	CB4	0	Extrusive:Igneous	Lava Flow	Basalt		198	0	19.7	381.7	-15	This study	SO-CMD-NORTH
CB4-6	CB4	0	Extrusive:Igneous	Lava Flow	Basalt		134	0	19.7	381.7	-80	This study	SO-CMD-NORTH
CB4-7	CB4	0	Extrusive:Igneous	Lava Flow	Basalt		108	0	19.7	381.7	-62	This study	SO-CMD-NORTH
CB4-8	CB4	0	Extrusive:Igneous	Lava Flow	Basalt		210	0	19.7	381.7	-79	This study	SO-CMD-NORTH
CB5-1	CB5	0	Extrusive:Igneous	Lava Flow	Basalt		87	0	19.7	381.7	-49	This study	SO-CMD-NORTH
